survey_id,beach_id,transect_m,total_items,beach_name,municipality,items_per_100m,year,month,day,season,lat,lon,region
MWE_SAR_2_2020_1PRI,MWE_SAR_2,100,256.0,Cagliari Poetto,Cagliari,256.0,2020,5.0,22.0,1PRI,39.2125,9.17472,
MWE_SAR_3_2020_1PRI,MWE_SAR_3,100,34.0,Castiadas Costa Rei,Muravera,34.0,2020,5.0,26.0,1PRI,39.26416,9.58138,
MWE_SAR_4_2020_1PRI,MWE_SAR_4,100,590.0,Oristano Is Arenas,Narbolia,590.0,2020,5.0,27.0,1PRI,40.06952,8.47871,
MWE_SAR_5_2020_1PR1,MWE_SAR_5,100,23.0,San Teodoro La Cinta,San Teodoro,23.0,2020,5.0,21.0,1PRI,40.788277,9.670278,
MWE_SAR_6_2020_1PR1,MWE_SAR_6,100,67.0,Sant'Anna Arresi Porto Pino,Sant'Anna Arresi,67.0,2020,5.0,28.0,1PRI,38.95879,8.61167,
MWE_SAR_1_2020_2AUT,MWE_SAR_1,100,526.0,Alghero Lido,Alghero,526.0,2020,10.0,22.0,2AUT,40.58593,8.30683,
MWE_SAR_2_2020_2AUT,MWE_SAR_2,100,258.0,Cagliari Poetto,Cagliari,258.0,2020,12.0,16.0,2AUT,39.2125,9.17472,
MWE_SAR_3_2020_2AUT,MWE_SAR_3,100,158.0,Castiadas Costa Rei,Muravera,158.0,2020,12.0,10.0,2AUT,39.26416,9.58138,
MWE_SAR_4_2020_2AUT,MWE_SAR_4,100,681.0,Oristano Is Arenas,Narbolia,681.0,2020,10.0,29.0,2AUT,40.06952,8.47871,
MWE_SAR_5_2020_2AUT,MWE_SAR_5,100,49.0,San Teodoro La Cinta,San Teodoro,49.0,2020,10.0,30.0,2AUT,40.788277,9.670278,
MWE_SAR_6_2020_2AUT,MWE_SAR_6,100,63.0,Sant'Anna Arresi Porto Pino,Sant'Anna Arresi,63.0,2020,11.0,12.0,2AUT,38.95879,8.61167,
MWE_SAR_1_2021_1PRI,MWE_SAR_1,100,687.0,Alghero Lido,Alghero,687.0,2021,4.0,26.0,1PRI,40.58593,8.30683,
MWE_SAR_2_2021_1PRI,MWE_SAR_2,100,183.0,Cagliari Poetto,Cagliari,183.0,2021,3.0,9.0,1PRI,39.2125,9.17472,
MWE_SAR_3_2021_1PRI,MWE_SAR_3,100,77.0,Castiadas Costa Rei,Muravera,77.0,2021,3.0,18.0,1PRI,39.26416,9.58138,
MWE_SAR_4_2021_1PRI,MWE_SAR_4,100,1421.0,Oristano Is Arenas,Narbolia,1421.0,2021,3.0,3.0,1PRI,40.06952,8.47871,
MWE_SAR_5_2021_1PR1,MWE_SAR_5,100,28.0,San Teodoro La Cinta,San Teodoro,28.000000000000004,2021,4.0,1.0,1PRI,40.788277,9.670278,
MWE_SAR_6_2021_1PR1,MWE_SAR_6,100,187.0,Sant'Anna Arresi Porto Pino,Sant'Anna Arresi,187.0,2021,3.0,30.0,1PRI,38.95879,8.61167,
MWE_SAR_3_2020_2AUT,MWE_SAR_3,100,514.0,Castiadas Costa Rei,Muravera,514.0,2021,11.0,5.0,2AUT,39.26416,9.58138,
MWE_SAR_4_2020_2AUT,MWE_SAR_4,100,47.0,Oristano Is Arenas,Narbolia,47.0,2021,11.0,18.0,2AUT,40.06952,8.47871,
MWE_SAR_1_2022_1PRI,MWE_SAR_1,100,267.0,Alghero Lido,Alghero,267.0,2022,3.0,11.0,1PRI,40.58593,8.30683,Sardegna
MWE_SAR_2_2022_1PRI,MWE_SAR_2,100,358.0,Cagliari Poetto,Cagliari,358.0,2022,3.0,31.0,1PRI,39.2125,9.17472,Sardegna
MWE_SAR_3_2022_1PRI,MWE_SAR_3,100,87.0,Castiadas Costa Rei,Muravera,87.0,2022,4.0,8.0,1PRI,39.26416,9.58138,Sardegna
MWE_SAR_4_2022_1PRI,MWE_SAR_4,100,644.0,Oristano Is Arenas,Narbolia,644.0,2022,4.0,28.0,1PRI,40.06952,8.47871,Sardegna
MWE_SAR_5_2022_1PRI,MWE_SAR_5,100,49.0,San Teodoro La Cinta,San Teodoro,49.0,2022,4.0,1.0,1PRI,40.788277,9.670278,Sardegna
MWE_SAR_1_2022_2AUT,MWE_SAR_1,100,674.0,Alghero Lido,Alghero,674.0,2022,10.0,18.0,2AUT,40.58593,8.30683,Sardegna
MWE_SAR_2_2022_2AUT,MWE_SAR_2,100,273.0,Cagliari Poetto,Cagliari,273.0,2022,11.0,16.0,2AUT,39.2125,9.17472,Sardegna
MWE_SAR_3_2022_2AUT,MWE_SAR_3,100,210.0,Castiadas Costa Rei,Muravera,210.0,2022,11.0,14.0,2AUT,39.26416,9.58138,Sardegna
MWE_SAR_4_2022_2AUT,MWE_SAR_4,100,143.0,Oristano Is Arenas,Narbolia,143.0,2022,10.0,27.0,2AUT,40.06952,8.47871,Sardegna
MWE_SAR_5_2022_2AUT,MWE_SAR_5,100,124.0,La Cinta,San Teodoro,124.0,2022,11.0,11.0,2AUT,40.788277,9.670278,Sardegna
MWE_SAR_6_2022_2AUT,MWE_SAR_6,100,321.0,Sant'Anna Arresi Porto Pino,Sant'Anna Arresi,321.0,2022,12.0,5.0,2AUT,38.95879,8.61167,Sardegna
MWE_SAR_2_2023_1PRI,MWE_SAR_2,100,210.0,Cagliari Poetto,Cagliari,210.0,2023,2.0,28.0,1PRI,39.2125,9.17472,Sardegna
MWE_SAR_3_2023_1PRI,MWE_SAR_3,100,155.0,Castiadas Costa Rei,Muravera,155.0,2023,2.0,23.0,1PRI,39.26416,9.58138,Sardegna
MWE_SAR_4_2023_1PRI,MWE_SAR_4,100,298.0,Oristano Is Arenas,Narbolia,298.0,2023,4.0,28.0,1PRI,40.069371,8.478471,Sardegna
MWE_SAR_5_2023_1PRI,MWE_SAR_5,100,72.0,La Cinta,San Teodoro,72.0,2023,3.0,17.0,1PRI,40.788277,9.670278,Sardegna
MWE_SAR_6_2023_1PRI,MWE_SAR_6,100,118.0,Sant'Anna Arresi Porto Pino,Sant'Anna Arresi,118.0,2023,3.0,29.0,1PRI,38.95879,8.61167,Sardegna
MWE_SAR_1_2023_2AUT,MWE_SAR_1,100,384.0,Alghero Lido,Alghero,384.0,2023,11.0,2.0,2AUT,40.58593,8.30683,Sardegna
MWE_SAR_2_2023_2AUT,MWE_SAR_2,100,352.0,Cagliari Poetto,Cagliari,352.0,2023,11.0,7.0,2AUT,39.2164,9.17483,Sardegna
