station_id,effort_id,transect_id,survey_n,lat,lon,day,month,year,material,category,size,buoyancy,source,strip_width_m,speed_knots,time_effective_min,station_name,lat_station,lon_station,region,depth_m
0004-MS00200_TR06,0004-MS00200_TR06_B63_LIT,0004-MS00200_TR06,63.0,39.14691666666667,9.217888888888888,19.0,1.0,2021.0,Artificial polymer,G2,B,POS,Land,5.0,6.0,10:29:00,Cagliari_6,39.12184,9.22315355,Sardegna,55.0
0004-MS00200_TR06,0004-MS00200_TR06_64_LIT,0004-MS00200_TR06,64.0,39.14377777777778,9.218694444444443,19.0,1.0,2021.0,Natural matter,,,POS,Sea,5.0,6.0,10:29:00,Cagliari_6,39.12184,9.22315355,Sardegna,55.0
0004-MS00200_TR06,0004-MS00200_TR06_65_LIT,0004-MS00200_TR06,65.0,39.13472222222222,9.220666666666666,19.0,1.0,2021.0,Natural matter,,,POS,Sea,5.0,6.0,10:29:00,Cagliari_6,39.12184,9.22315355,Sardegna,55.0
0004-MS00200_TR12,0004-MS00200_TR12_66_LIT,0004-MS00200_TR12,66.0,39.12233333333334,9.227638888888889,19.0,1.0,2021.0,Natural matter,,,POS,Sea,5.0,6.0,11:15:00,Cagliari_12,39.023896,9.248386794,Sardegna,400.0
0004-MS00200_TR12,0004-MS00200_TR12_B67_LIT,0004-MS00200_TR12,67.0,39.11625,9.22863888888889,19.0,1.0,2021.0,Artificial polymer,G62,B,POS,Sea,5.0,6.0,11:15:00,Cagliari_12,39.023896,9.248386794,Sardegna,400.0
0004-MS00200_TR12,0004-MS00200_TR12_C72_LIT,0004-MS00200_TR12,72.0,39.07833333333333,9.235722222222222,19.0,1.0,2021.0,Artificial polymer,G38,C,POS,Land,5.0,6.0,11:30:00,Cagliari_12,39.023896,9.248386794,Sardegna,400.0
0004-MS00200_TR12,0004-MS00200_TR12_73_LIT,0004-MS00200_TR12,73.0,39.05830555555555,9.24222222222222,19.0,1.0,2021.0,Natural matter,,,POS,Land,5.0,6.0,11:45:00,Cagliari_12,39.023896,9.248386794,Sardegna,400.0
0004-MS00200_TR12,0004-MS00200_TR12_B75_LIT,0004-MS00200_TR12,75.0,39.03530555555555,9.248833333333332,19.0,1.0,2021.0,Artificial polymer,G38,B,POS,Land,5.0,6.0,12:00:00,Cagliari_12,39.023896,9.248386794,Sardegna,400.0
0004-MS00200_TR12,0004-MS00200_TR12_B75_LIT,0004-MS00200_TR12,75.0,39.03530555555555,9.248833333333332,19.0,1.0,2021.0,Artificial polymer,G30,B,POS,Land,5.0,6.0,12:14:00,Cagliari_12,39.023896,9.248386794,Sardegna,400.0
0018-MS00110_TR12,0018-MS00110_TR12_79_LIT,0018-MS00110_TR12,79.0,38.992333333333335,9.502277777777778,4.0,2.0,2021.0,Artificial polymer,G20,B,NEU,Land,5.0,6.0,13:01:00,Villasimius_12,38.934759,9.515226699,Sardegna,1000.0
0018-MS00110_TR12,0018-MS00110_TR12_80_LIT,0018-MS00110_TR12,80.0,38.99669444444445,9.502083333333331,4.0,2.0,2021.0,Artificial polymer,T336,B,NEG,Land,5.0,6.0,13:04:00,Villasimius_12,38.934759,9.515226699,Sardegna,1000.0
0018-MS00110_TR12,0018-MS00110_TR12_81_LIT,0018-MS00110_TR12,81.0,38.99894444444445,9.501833333333334,4.0,2.0,2021.0,Artificial polymer,G2,C,NEG,Land,5.0,6.0,13:06:00,Villasimius_12,38.934759,9.515226699,Sardegna,1000.0
0018-MS00110_TR12,0018-MS00110_TR12_82_LIT,0018-MS00110_TR12,82.0,39.00816666666667,9.5015,4.0,2.0,2021.0,Natural matter,,C,POS,Land,5.0,6.0,13:11:00,Villasimius_12,38.934759,9.515226699,Sardegna,1000.0
