effort_id,n_items,strip_width_m,speed_knots,year,month,station_id,lat_station,lon_station,region,duration_h,area_km2,density_km2
0004-MS00200_TR06_127_LIT,2,5.0,6.0,2021,6,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_128_LIT,1,5.0,6.0,2021,6,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_129_LIT,1,5.0,6.0,2021,6,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_151_TR,2,5.0,6.0,2021,9,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_152_TR,1,5.0,6.0,2021,9,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_153_TR,1,5.0,6.0,2021,9,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_154_TR,2,5.0,6.0,2021,9,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.016666666666666666,0.000926,2159.8272138228945
0004-MS00200_TR06_185_TR,1,5.0,6.0,2021,11,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_186_TR,1,5.0,6.0,2021,11,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_187_TR,1,5.0,6.0,2021,11,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_188_TR,1,5.0,6.0,2021,11,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_189_TR,1,5.0,6.0,2021,11,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_190_TR,1,5.0,6.0,2021,11,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_205_LIT,1,5.0,6.0,2022,1,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_207_LIT,1,5.0,6.0,2022,1,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_208_LIT,1,5.0,6.0,2022,1,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_209_LIT,2,5.0,6.0,2022,1,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_210_LIT,1,5.0,6.0,2022,1,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_236_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_237_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_245_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_246_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_247_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_248_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_249_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_250_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_251_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_252_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_253_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_254_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_255_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_256_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_257_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_258_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_259_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_260_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_261_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_262_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_263_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_264_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_265_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_266_LIT,1,5.0,6.0,2022,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_295_Lit,1,5.0,6.0,2022,7,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_297_Lit,1,5.0,6.0,2022,7,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_298_Lit,1,5.0,6.0,2022,7,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_340_LIT,1,5.0,7.0,2022,11,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_341_LIT,1,5.0,7.0,2022,11,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_342_LIT,1,5.0,7.0,2022,11,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_347_LIT,1,5.0,6.0,2023,3,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_348_LIT,1,5.0,6.0,2023,3,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_380_LIT,1,50.0,6.5,2023,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_381_LIT,1,50.0,6.5,2023,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_382_LIT,1,50.0,6.5,2023,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_383_LIT,1,50.0,6.5,2023,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
0004-MS00200_TR06_384_LIT,2,50.0,6.5,2023,5,0004-MS00200_TR06,39.12184,9.22315355,Sardegna,0.0,0.0,
