beach_id,year,month,tourists,period
MWE_SAR_1,2018,1,300,pre-COVID
MWE_SAR_1,2018,2,300,pre-COVID
MWE_SAR_1,2018,3,200,pre-COVID
MWE_SAR_1,2018,4,300,pre-COVID
MWE_SAR_1,2018,5,2000,pre-COVID
MWE_SAR_1,2018,6,6000,pre-COVID
MWE_SAR_1,2018,7,11000,pre-COVID
MWE_SAR_1,2018,8,13000,pre-COVID
MWE_SAR_1,2018,9,7000,pre-COVID
MWE_SAR_1,2018,10,2000,pre-COVID
MWE_SAR_1,2018,11,300,pre-COVID
MWE_SAR_1,2018,12,300,pre-COVID
MWE_SAR_2,2018,1,500,pre-COVID
MWE_SAR_2,2018,2,500,pre-COVID
MWE_SAR_2,2018,3,300,pre-COVID
MWE_SAR_2,2018,4,400,pre-COVID
MWE_SAR_2,2018,5,3000,pre-COVID
MWE_SAR_2,2018,6,10000,pre-COVID
MWE_SAR_2,2018,7,23000,pre-COVID
MWE_SAR_2,2018,8,27000,pre-COVID
MWE_SAR_2,2018,9,12000,pre-COVID
MWE_SAR_2,2018,10,3000,pre-COVID
MWE_SAR_2,2018,11,500,pre-COVID
MWE_SAR_2,2018,12,500,pre-COVID
MWE_SAR_3,2018,1,200,pre-COVID
MWE_SAR_3,2018,2,200,pre-COVID
MWE_SAR_3,2018,3,100,pre-COVID
MWE_SAR_3,2018,4,150,pre-COVID
MWE_SAR_3,2018,5,1500,pre-COVID
MWE_SAR_3,2018,6,6000,pre-COVID
MWE_SAR_3,2018,7,13000,pre-COVID
MWE_SAR_3,2018,8,16000,pre-COVID
MWE_SAR_3,2018,9,8000,pre-COVID
MWE_SAR_3,2018,10,1500,pre-COVID
MWE_SAR_3,2018,11,200,pre-COVID
MWE_SAR_3,2018,12,200,pre-COVID
MWE_SAR_4,2018,1,100,pre-COVID
MWE_SAR_4,2018,2,100,pre-COVID
MWE_SAR_4,2018,3,80,pre-COVID
MWE_SAR_4,2018,4,80,pre-COVID
MWE_SAR_4,2018,5,600,pre-COVID
MWE_SAR_4,2018,6,2500,pre-COVID
MWE_SAR_4,2018,7,4000,pre-COVID
MWE_SAR_4,2018,8,4500,pre-COVID
MWE_SAR_4,2018,9,2500,pre-COVID
MWE_SAR_4,2018,10,700,pre-COVID
MWE_SAR_4,2018,11,100,pre-COVID
MWE_SAR_4,2018,12,100,pre-COVID
MWE_SAR_5,2018,1,250,pre-COVID
MWE_SAR_5,2018,2,250,pre-COVID
MWE_SAR_5,2018,3,150,pre-COVID
MWE_SAR_5,2018,4,200,pre-COVID
MWE_SAR_5,2018,5,2000,pre-COVID
MWE_SAR_5,2018,6,7000,pre-COVID
MWE_SAR_5,2018,7,18000,pre-COVID
MWE_SAR_5,2018,8,22000,pre-COVID
MWE_SAR_5,2018,9,10000,pre-COVID
MWE_SAR_5,2018,10,2000,pre-COVID
MWE_SAR_5,2018,11,250,pre-COVID
MWE_SAR_5,2018,12,250,pre-COVID
MWE_SAR_6,2018,1,150,pre-COVID
MWE_SAR_6,2018,2,150,pre-COVID
MWE_SAR_6,2018,3,100,pre-COVID
MWE_SAR_6,2018,4,100,pre-COVID
MWE_SAR_6,2018,5,1000,pre-COVID
MWE_SAR_6,2018,6,4500,pre-COVID
MWE_SAR_6,2018,7,9000,pre-COVID
MWE_SAR_6,2018,8,11000,pre-COVID
MWE_SAR_6,2018,9,5000,pre-COVID
MWE_SAR_6,2018,10,1000,pre-COVID
MWE_SAR_6,2018,11,150,pre-COVID
MWE_SAR_6,2018,12,150,pre-COVID
MWE_SAR_1,2019,1,350,pre-COVID
MWE_SAR_1,2019,2,350,pre-COVID
MWE_SAR_1,2019,3,250,pre-COVID
MWE_SAR_1,2019,4,400,pre-COVID
MWE_SAR_1,2019,5,2500,pre-COVID
MWE_SAR_1,2019,6,7000,pre-COVID
MWE_SAR_1,2019,7,13000,pre-COVID
MWE_SAR_1,2019,8,15000,pre-COVID
MWE_SAR_1,2019,9,8000,pre-COVID
MWE_SAR_1,2019,10,2500,pre-COVID
MWE_SAR_1,2019,11,350,pre-COVID
MWE_SAR_1,2019,12,350,pre-COVID
MWE_SAR_2,2019,1,600,pre-COVID
MWE_SAR_2,2019,2,600,pre-COVID
MWE_SAR_2,2019,3,400,pre-COVID
MWE_SAR_2,2019,4,600,pre-COVID
MWE_SAR_2,2019,5,4000,pre-COVID
MWE_SAR_2,2019,6,12000,pre-COVID
MWE_SAR_2,2019,7,28000,pre-COVID
MWE_SAR_2,2019,8,32000,pre-COVID
MWE_SAR_2,2019,9,15000,pre-COVID
MWE_SAR_2,2019,10,4000,pre-COVID
MWE_SAR_2,2019,11,600,pre-COVID
MWE_SAR_2,2019,12,600,pre-COVID
MWE_SAR_3,2019,1,300,pre-COVID
MWE_SAR_3,2019,2,300,pre-COVID
MWE_SAR_3,2019,3,200,pre-COVID
MWE_SAR_3,2019,4,300,pre-COVID
MWE_SAR_3,2019,5,2000,pre-COVID
MWE_SAR_3,2019,6,7000,pre-COVID
MWE_SAR_3,2019,7,16000,pre-COVID
MWE_SAR_3,2019,8,18000,pre-COVID
MWE_SAR_3,2019,9,10000,pre-COVID
MWE_SAR_3,2019,10,2000,pre-COVID
MWE_SAR_3,2019,11,300,pre-COVID
MWE_SAR_3,2019,12,300,pre-COVID
MWE_SAR_4,2019,1,150,pre-COVID
MWE_SAR_4,2019,2,150,pre-COVID
MWE_SAR_4,2019,3,100,pre-COVID
MWE_SAR_4,2019,4,150,pre-COVID
MWE_SAR_4,2019,5,800,pre-COVID
MWE_SAR_4,2019,6,3000,pre-COVID
MWE_SAR_4,2019,7,5000,pre-COVID
MWE_SAR_4,2019,8,5000,pre-COVID
MWE_SAR_4,2019,9,3000,pre-COVID
MWE_SAR_4,2019,10,1000,pre-COVID
MWE_SAR_4,2019,11,150,pre-COVID
MWE_SAR_4,2019,12,150,pre-COVID
MWE_SAR_5,2019,1,300,pre-COVID
MWE_SAR_5,2019,2,300,pre-COVID
MWE_SAR_5,2019,3,200,pre-COVID
MWE_SAR_5,2019,4,300,pre-COVID
MWE_SAR_5,2019,5,3000,pre-COVID
MWE_SAR_5,2019,6,9000,pre-COVID
MWE_SAR_5,2019,7,22000,pre-COVID
MWE_SAR_5,2019,8,26000,pre-COVID
MWE_SAR_5,2019,9,12000,pre-COVID
MWE_SAR_5,2019,10,3000,pre-COVID
MWE_SAR_5,2019,11,300,pre-COVID
MWE_SAR_5,2019,12,300,pre-COVID
MWE_SAR_6,2019,1,200,pre-COVID
MWE_SAR_6,2019,2,200,pre-COVID
MWE_SAR_6,2019,3,150,pre-COVID
MWE_SAR_6,2019,4,200,pre-COVID
MWE_SAR_6,2019,5,1500,pre-COVID
MWE_SAR_6,2019,6,6000,pre-COVID
MWE_SAR_6,2019,7,11000,pre-COVID
MWE_SAR_6,2019,8,13000,pre-COVID
MWE_SAR_6,2019,9,7000,pre-COVID
MWE_SAR_6,2019,10,1500,pre-COVID
MWE_SAR_6,2019,11,200,pre-COVID
MWE_SAR_6,2019,12,200,pre-COVID
MWE_SAR_1,2020,1,200,COVID
MWE_SAR_1,2020,2,200,COVID
MWE_SAR_1,2020,3,100,COVID
MWE_SAR_1,2020,4,100,COVID
MWE_SAR_1,2020,5,1000,COVID
MWE_SAR_1,2020,6,4000,COVID
MWE_SAR_1,2020,7,8000,COVID
MWE_SAR_1,2020,8,10000,COVID
MWE_SAR_1,2020,9,5000,COVID
MWE_SAR_1,2020,10,1000,COVID
MWE_SAR_1,2020,11,200,COVID
MWE_SAR_1,2020,12,200,COVID
MWE_SAR_2,2020,1,300,COVID
MWE_SAR_2,2020,2,300,COVID
MWE_SAR_2,2020,3,150,COVID
MWE_SAR_2,2020,4,150,COVID
MWE_SAR_2,2020,5,2000,COVID
MWE_SAR_2,2020,6,6000,COVID
MWE_SAR_2,2020,7,15000,COVID
MWE_SAR_2,2020,8,20000,COVID
MWE_SAR_2,2020,9,8000,COVID
MWE_SAR_2,2020,10,2000,COVID
MWE_SAR_2,2020,11,300,COVID
MWE_SAR_2,2020,12,300,COVID
MWE_SAR_3,2020,1,100,COVID
MWE_SAR_3,2020,2,100,COVID
MWE_SAR_3,2020,3,50,COVID
MWE_SAR_3,2020,4,50,COVID
MWE_SAR_3,2020,5,800,COVID
MWE_SAR_3,2020,6,4000,COVID
MWE_SAR_3,2020,7,10000,COVID
MWE_SAR_3,2020,8,13000,COVID
MWE_SAR_3,2020,9,6000,COVID
MWE_SAR_3,2020,10,1000,COVID
MWE_SAR_3,2020,11,100,COVID
MWE_SAR_3,2020,12,100,COVID
MWE_SAR_4,2020,1,50,COVID
MWE_SAR_4,2020,2,50,COVID
MWE_SAR_4,2020,3,30,COVID
MWE_SAR_4,2020,4,30,COVID
MWE_SAR_4,2020,5,400,COVID
MWE_SAR_4,2020,6,2000,COVID
MWE_SAR_4,2020,7,3000,COVID
MWE_SAR_4,2020,8,4000,COVID
MWE_SAR_4,2020,9,2000,COVID
MWE_SAR_4,2020,10,500,COVID
MWE_SAR_4,2020,11,50,COVID
MWE_SAR_4,2020,12,50,COVID
MWE_SAR_5,2020,1,150,COVID
MWE_SAR_5,2020,2,150,COVID
MWE_SAR_5,2020,3,80,COVID
MWE_SAR_5,2020,4,80,COVID
MWE_SAR_5,2020,5,1000,COVID
MWE_SAR_5,2020,6,5000,COVID
MWE_SAR_5,2020,7,14000,COVID
MWE_SAR_5,2020,8,18000,COVID
MWE_SAR_5,2020,9,7000,COVID
MWE_SAR_5,2020,10,1000,COVID
MWE_SAR_5,2020,11,150,COVID
MWE_SAR_5,2020,12,150,COVID
MWE_SAR_6,2020,1,100,COVID
MWE_SAR_6,2020,2,100,COVID
MWE_SAR_6,2020,3,50,COVID
MWE_SAR_6,2020,4,50,COVID
MWE_SAR_6,2020,5,700,COVID
MWE_SAR_6,2020,6,3000,COVID
MWE_SAR_6,2020,7,7000,COVID
MWE_SAR_6,2020,8,9000,COVID
MWE_SAR_6,2020,9,4000,COVID
MWE_SAR_6,2020,10,800,COVID
MWE_SAR_6,2020,11,100,COVID
MWE_SAR_6,2020,12,100,COVID
MWE_SAR_1,2021,1,250,COVID
MWE_SAR_1,2021,2,250,COVID
MWE_SAR_1,2021,3,125,COVID
MWE_SAR_1,2021,4,125,COVID
MWE_SAR_1,2021,5,1250,COVID
MWE_SAR_1,2021,6,5000,COVID
MWE_SAR_1,2021,7,10000,COVID
MWE_SAR_1,2021,8,12500,COVID
MWE_SAR_1,2021,9,6250,COVID
MWE_SAR_1,2021,10,1250,COVID
MWE_SAR_1,2021,11,250,COVID
MWE_SAR_1,2021,12,250,COVID
MWE_SAR_2,2021,1,375,COVID
MWE_SAR_2,2021,2,375,COVID
MWE_SAR_2,2021,3,187,COVID
MWE_SAR_2,2021,4,187,COVID
MWE_SAR_2,2021,5,2500,COVID
MWE_SAR_2,2021,6,7500,COVID
MWE_SAR_2,2021,7,18750,COVID
MWE_SAR_2,2021,8,25000,COVID
MWE_SAR_2,2021,9,10000,COVID
MWE_SAR_2,2021,10,2500,COVID
MWE_SAR_2,2021,11,375,COVID
MWE_SAR_2,2021,12,375,COVID
MWE_SAR_3,2021,1,125,COVID
MWE_SAR_3,2021,2,125,COVID
MWE_SAR_3,2021,3,62,COVID
MWE_SAR_3,2021,4,62,COVID
MWE_SAR_3,2021,5,1000,COVID
MWE_SAR_3,2021,6,5000,COVID
MWE_SAR_3,2021,7,12500,COVID
MWE_SAR_3,2021,8,16250,COVID
MWE_SAR_3,2021,9,7500,COVID
MWE_SAR_3,2021,10,1250,COVID
MWE_SAR_3,2021,11,125,COVID
MWE_SAR_3,2021,12,125,COVID
MWE_SAR_4,2021,1,62,COVID
MWE_SAR_4,2021,2,62,COVID
MWE_SAR_4,2021,3,37,COVID
MWE_SAR_4,2021,4,37,COVID
MWE_SAR_4,2021,5,500,COVID
MWE_SAR_4,2021,6,2500,COVID
MWE_SAR_4,2021,7,3750,COVID
MWE_SAR_4,2021,8,5000,COVID
MWE_SAR_4,2021,9,2500,COVID
MWE_SAR_4,2021,10,625,COVID
MWE_SAR_4,2021,11,62,COVID
